day,average_tip,average_distance
FRIDAY,22.05631333617953,4.204086109549867
MONDAY,22.058275188182048,4.491378578318075
SATURDAY,21.106870198347657,3.983017093582754
SUNDAY,24.39117912851439,4.6670065712366355
THURSDAY,22.326227212201168,4.103951182762545
TUESDAY,22.640797285625915,4.131082461455364
WEDNESDAY,22.07062613015379,3.929585863852575
