range_start,range_end,locationid,total
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,71,665
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,230,423006
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,251,23
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,129,2520
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,254,669
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,209,20136
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,28,1405
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,157,1023
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,265,9237
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,208,345
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,13,67761
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,134,1137
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,126,232
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,175,206
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,137,146174
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,67,252
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,65,7275
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,69,854
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,121,557
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,5,203
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,191,850
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,10,4086
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,111,7
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,84,8
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,57,24
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,156,22
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,152,8619
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,227,252
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,200,315
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,11,192
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,168,1666
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,151,104185
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,226,9630
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,37,1470
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,172,16
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,30,23
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,149,293
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,6,190
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,183,106
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,261,58082
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,44,193
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,66,2985
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,188,1663
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,91,887
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,192,191
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,107,275575
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,97,4689
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,219,1158
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,181,3921
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,237,590608
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,207,975
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,105,1
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,122,290
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,16,199
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,76,1740
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,108,396
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,43,201888
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,234,344977
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,54,207
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,247,1463
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,53,229
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,2,8
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,138,401053
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,49,1963
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,18,411
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,80,2233
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,51,1086
