day,average_tip,average_distance
FRIDAY,21.046289279790344,7.176004680513599
MONDAY,20.898713883533908,7.158984646856776
SATURDAY,22.16139888779274,6.730261864918076
SUNDAY,20.704546091380752,6.86390600536365
THURSDAY,21.81575441176318,6.808192785325613
TUESDAY,21.622040332771597,7.168780812687068
WEDNESDAY,20.69391500697267,6.554100030261708
