trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
2.08,9.5,2.56,0.0,0.0,15.36,"",0.3,2.5,0.5
1.16,6.0,1.86,0.0,0.0,11.16,"",0.3,2.5,0.5
1.35,8.5,0.0,0.0,0.0,11.8,"",0.3,2.5,0.5
3.3,12.5,3.0,2.5,0.0,18.8,"",0.3,2.5,0.5
1.6,9.0,1.5,2.5,0.0,13.8,"",0.3,2.5,0.5
0.8,8.0,2.26,2.5,0.0,13.56,"",0.3,2.5,0.5
1.4,7.5,0.0,2.5,0.0,10.8,"",0.3,2.5,0.5
1.2,6.0,1.85,2.5,0.0,11.15,"",0.3,2.5,0.5
2.1,11.5,4.4,2.5,0.0,19.2,"",0.3,2.5,0.5
2.0,10.5,2.5,2.5,0.0,16.3,"",0.3,2.5,0.5
0.67,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
0.82,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
0.0,9.2,0.0,0.0,0.0,10.0,"",0.3,0.0,0.5
0.3,3.0,1.25,2.5,0.0,7.55,"",0.3,2.5,0.5
1.7,10.0,2.65,2.5,0.0,15.95,"",0.3,2.5,0.5
0.4,5.0,1.65,2.5,0.0,9.95,"",0.3,2.5,0.5
2.7,11.0,0.0,2.5,0.0,14.3,"",0.3,2.5,0.5
2.3,10.0,5.0,2.5,0.0,18.3,"",0.3,2.5,0.5
0.7,5.0,1.0,2.5,0.0,9.3,"",0.3,2.5,0.5
5.2,18.5,4.35,2.5,0.0,26.15,"",0.3,2.5,0.5
3.0,13.5,1.68,0.0,0.0,18.48,"",0.3,2.5,0.5
1.78,8.5,0.0,0.0,0.0,11.8,"",0.3,2.5,0.5
5.64,22.5,2.5,0.0,0.0,28.3,"",0.3,2.5,0.5
1.1,6.5,1.95,2.5,0.0,11.75,"",0.3,2.5,0.5
1.0,6.0,2.3,2.5,0.0,11.6,"",0.3,2.5,0.5
0.41,4.0,0.0,0.0,0.0,7.3,"",0.3,2.5,0.5
3.46,19.5,5.7,0.0,0.0,28.5,"",0.3,2.5,0.5
0.07,-3.0,0.0,0.0,0.0,-6.3,"",-0.3,-2.5,-0.5
0.07,3.0,0.0,0.0,0.0,6.3,"",0.3,2.5,0.5
1.55,8.5,0.0,0.0,0.0,11.8,"",0.3,2.5,0.5
2.34,14.5,2.0,0.0,0.0,19.8,"",0.3,2.5,0.5
4.3,18.5,4.36,0.0,0.0,26.16,"",0.3,2.5,0.5
4.3,22.5,6.45,2.5,0.0,32.25,"",0.3,2.5,0.5
1.1,7.0,2.05,2.5,0.0,12.35,"",0.3,2.5,0.5
0.6,4.5,1.55,2.5,0.0,9.35,"",0.3,2.5,0.5
