trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
0.0,40.0,2.0,0.0,6.12,50.92,"",0.3,2.5,0.0
0.9,5.0,1.85,3.5,0.0,11.15,"",0.3,2.5,0.5
2.2,10.0,2.85,3.5,0.0,17.15,"",0.3,2.5,0.5
2.3,11.0,2.0,3.5,0.0,17.3,"",0.3,2.5,0.5
1.21,6.5,0.0,1.0,0.0,10.8,"",0.3,2.5,0.5
3.51,14.5,3.76,1.0,0.0,22.56,"",0.3,2.5,0.5
2.5,9.5,1.38,1.0,0.0,15.18,"",0.3,2.5,0.5
0.0,25.2,0.0,0.0,0.0,26.0,"",0.3,0.0,0.5
0.0,23.2,0.0,0.0,0.0,24.0,"",0.3,0.0,0.5
2.84,12.0,3.26,1.0,0.0,19.56,"",0.3,2.5,0.5
0.88,5.5,2.94,1.0,0.0,12.74,"",0.3,2.5,0.5
1.26,8.5,0.0,1.0,0.0,12.8,"",0.3,2.5,0.5
0.55,4.5,1.76,1.0,0.0,10.56,"",0.3,2.5,0.5
3.44,15.5,1.0,1.0,0.0,20.8,"",0.3,2.5,0.5
2.32,11.0,1.53,1.0,0.0,16.83,"",0.3,2.5,0.5
1.25,6.0,0.0,1.0,0.0,7.8,"",0.3,0.0,0.5
1.74,10.5,0.0,1.0,0.0,12.3,"",0.3,0.0,0.5
1.18,6.0,3.09,1.0,0.0,13.39,"",0.3,2.5,0.5
2.0,8.0,3.05,3.5,0.0,15.35,"",0.3,2.5,0.5
2.03,9.5,1.0,1.0,0.0,14.8,"",0.3,2.5,0.5
1.72,9.5,2.76,1.0,0.0,16.56,"",0.3,2.5,0.5
2.24,10.5,0.0,1.0,0.0,14.8,"",0.3,2.5,0.5
4.4,17.0,0.0,3.5,0.0,21.3,"",0.3,2.5,0.5
2.18,8.5,0.0,1.0,0.0,12.8,"",0.3,2.5,0.5
1.92,9.5,2.76,1.0,0.0,16.56,"",0.3,2.5,0.5
0.91,5.5,1.96,1.0,0.0,11.76,"",0.3,2.5,0.5
0.96,5.0,1.0,1.0,0.0,10.3,"",0.3,2.5,0.5
1.83,9.5,3.45,1.0,0.0,17.25,"",0.3,2.5,0.5
1.56,7.5,2.36,1.0,0.0,14.16,"",0.3,2.5,0.5
0.35,3.5,0.0,1.0,0.0,5.3,"",0.3,0.0,0.5
0.88,6.0,1.95,1.0,0.0,9.75,"",0.3,0.0,0.5
0.5,4.5,0.0,3.5,0.0,8.8,"",0.3,2.5,0.5
2.0,9.5,4.1,3.5,0.0,17.9,"",0.3,2.5,0.5
2.0,10.0,2.85,3.5,0.0,17.15,"",0.3,2.5,0.5
1.2,7.0,0.0,1.0,0.0,11.3,"",0.3,2.5,0.5
1.87,8.5,3.2,1.0,0.0,16.0,"",0.3,2.5,0.5
1.9,8.5,1.0,3.5,0.0,13.8,"",0.3,2.5,0.5
2.5,11.0,3.06,3.5,0.0,18.36,"",0.3,2.5,0.5
2.4,10.5,0.0,3.5,0.0,14.8,"",0.3,2.5,0.5
1.9,9.5,4.1,3.5,0.0,17.9,"",0.3,2.5,0.5
2.8,13.0,3.45,3.5,0.0,20.75,"",0.3,2.5,0.5
1.28,9.0,1.06,1.0,0.0,14.36,"",0.3,2.5,0.5
0.67,5.0,1.0,1.0,0.0,10.3,"",0.3,2.5,0.5
5.18,20.0,4.86,1.0,0.0,29.16,"",0.3,2.5,0.5
0.41,5.0,1.0,1.0,0.0,10.3,"",0.3,2.5,0.5
1.01,5.0,1.86,1.0,0.0,11.16,"",0.3,2.5,0.5
4.04,14.0,0.0,1.0,0.0,18.3,"",0.3,2.5,0.5
10.27,33.5,0.0,1.0,6.12,43.92,"",0.3,2.5,0.5
2.92,12.0,3.26,1.0,0.0,19.56,"",0.3,2.5,0.5
2.55,12.0,0.0,1.0,0.0,16.3,"",0.3,2.5,0.5
0.7,4.5,3.0,1.0,0.0,11.8,"",0.3,2.5,0.5
2.91,13.0,3.46,1.0,0.0,20.76,"",0.3,2.5,0.5
1.62,8.0,0.0,1.0,0.0,12.3,"",0.3,2.5,0.5
1.26,6.0,3.09,1.0,0.0,13.39,"",0.3,2.5,0.5
1.85,9.5,2.76,1.0,0.0,16.56,"",0.3,2.5,0.5
9.69,28.5,11.68,1.0,6.12,50.6,"",0.3,2.5,0.5
1.64,7.5,3.54,1.0,0.0,15.34,"",0.3,2.5,0.5
5.41,16.5,3.12,1.0,0.0,23.92,"",0.3,2.5,0.5
3.29,14.5,3.76,1.0,0.0,22.56,"",0.3,2.5,0.5
1.02,6.0,2.58,1.0,0.0,12.88,"",0.3,2.5,0.5
1.8,9.0,1.5,3.5,0.0,14.8,"",0.3,2.5,0.5
1.8,9.0,2.65,3.5,0.0,15.95,"",0.3,2.5,0.5
2.99,12.5,0.0,1.0,0.0,16.8,"",0.3,2.5,0.5
1.1,6.0,0.0,1.0,0.0,10.3,"",0.3,2.5,0.5
0.98,5.5,1.96,1.0,0.0,11.76,"",0.3,2.5,0.5
0.48,4.5,1.76,1.0,0.0,10.56,"",0.3,2.5,0.5
3.23,12.5,3.0,1.0,0.0,19.8,"",0.3,2.5,0.5
1.91,9.0,3.32,1.0,0.0,16.62,"",0.3,2.5,0.5
0.8,4.5,0.0,1.0,0.0,8.8,"",0.3,2.5,0.5
2.5,12.0,0.0,3.5,0.0,16.3,"",0.3,2.5,0.5
7.75,26.5,6.16,1.0,0.0,36.96,"",0.3,2.5,0.5
0.97,6.0,1.5,1.0,0.0,11.8,"",0.3,2.5,0.5
1.05,7.0,1.5,1.0,0.0,12.8,"",0.3,2.5,0.5
0.93,5.5,1.96,1.0,0.0,11.76,"",0.3,2.5,0.5
2.56,10.0,2.86,1.0,0.0,17.16,"",0.3,2.5,0.5
1.76,8.0,0.0,1.0,0.0,12.3,"",0.3,2.5,0.5
7.44,24.0,5.66,1.0,0.0,33.96,"",0.3,2.5,0.5
2.13,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
1.14,5.5,1.46,1.0,0.0,8.76,"",0.3,0.0,0.5
4.66,19.0,4.66,1.0,0.0,27.96,"",0.3,2.5,0.5
5.86,22.0,0.0,1.0,0.0,26.3,"",0.3,2.5,0.5
1.43,8.0,0.0,1.0,0.0,9.8,"",0.3,0.0,0.5
2.51,14.5,3.26,1.0,0.0,19.56,"",0.3,0.0,0.5
1.45,9.0,2.66,1.0,0.0,15.96,"",0.3,2.5,0.5
2.58,11.5,3.16,1.0,0.0,18.96,"",0.3,2.5,0.5
1.1,6.0,2.0,3.5,0.0,12.3,"",0.3,2.5,0.5
0.6,5.0,1.0,3.5,0.0,10.3,"",0.3,2.5,0.5
1.7,8.5,2.55,3.5,0.0,15.35,"",0.3,2.5,0.5
4.1,15.0,3.86,3.5,0.0,23.16,"",0.3,2.5,0.5
0.91,5.5,1.96,1.0,0.0,11.76,"",0.3,2.5,0.5
3.23,12.0,3.26,1.0,0.0,19.56,"",0.3,2.5,0.5
1.68,10.0,2.86,1.0,0.0,17.16,"",0.3,2.5,0.5
0.0,52.0,11.46,4.5,0.0,68.76,"",0.3,0.0,0.5
8.29,24.0,5.0,1.0,6.12,39.42,"",0.3,2.5,0.5
0.9,5.5,0.0,3.5,0.0,9.8,"",0.3,2.5,0.5
1.02,6.5,2.16,1.0,0.0,12.96,"",0.3,2.5,0.5
3.56,15.0,3.86,1.0,0.0,23.16,"",0.3,2.5,0.5
2.82,11.0,3.83,1.0,0.0,19.13,"",0.3,2.5,0.5
2.3,10.0,2.85,3.5,0.0,17.15,"",0.3,2.5,0.5
0.6,4.5,1.0,3.5,0.0,9.8,"",0.3,2.5,0.5
1.9,9.0,1.5,3.5,0.0,14.8,"",0.3,2.5,0.5
5.08,18.0,3.7,1.0,0.0,26.0,"",0.3,2.5,0.5
9.68,32.5,5.52,1.0,0.0,42.32,"",0.3,2.5,0.5
1.89,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
3.99,14.5,0.0,1.0,0.0,18.8,"",0.3,2.5,0.5
1.2,7.5,2.36,3.5,0.0,14.16,"",0.3,2.5,0.5
0.8,6.0,2.05,3.5,0.0,12.35,"",0.3,2.5,0.5
1.11,6.5,0.0,1.0,0.0,8.3,"",0.3,0.0,0.5
1.04,6.0,2.06,1.0,0.0,12.36,"",0.3,2.5,0.5
1.11,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
2.58,10.0,0.0,1.0,0.0,14.3,"",0.3,2.5,0.5
1.11,6.5,1.5,1.0,0.0,12.3,"",0.3,2.5,0.5
2.91,11.5,0.0,1.0,0.0,15.8,"",0.3,2.5,0.5
1.3,7.0,3.39,1.0,0.0,14.69,"",0.3,2.5,0.5
1.2,7.0,2.26,3.5,0.0,13.56,"",0.3,2.5,0.5
2.0,9.5,1.38,3.5,0.0,15.18,"",0.3,2.5,0.5
2.0,9.0,2.65,3.5,0.0,15.95,"",0.3,2.5,0.5
2.6,11.0,0.0,3.5,0.0,15.3,"",0.3,2.5,0.5
6.4,24.5,0.0,3.5,0.0,28.8,"",0.3,2.5,0.5
1.63,7.0,2.26,1.0,0.0,13.56,"",0.3,2.5,0.5
0.82,5.5,0.0,1.0,0.0,9.8,"",0.3,2.5,0.5
1.82,9.0,3.33,1.0,0.0,16.63,"",0.3,2.5,0.5
3.59,14.0,3.0,1.0,0.0,21.3,"",0.3,2.5,0.5
1.42,8.0,0.0,1.0,0.0,12.3,"",0.3,2.5,0.5
1.7,7.5,1.18,3.5,0.0,12.98,"",0.3,2.5,0.5
2.7,11.0,2.0,3.5,0.0,17.3,"",0.3,2.5,0.5
0.9,6.5,2.15,3.5,0.0,12.95,"",0.3,2.5,0.5
2.7,11.5,0.0,3.5,0.0,15.8,"",0.3,2.5,0.5
0.8,6.5,0.0,3.5,0.0,10.8,"",0.3,2.5,0.5
1.66,8.5,3.84,1.0,0.0,16.64,"",0.3,2.5,0.5
2.24,10.0,2.86,1.0,0.0,17.16,"",0.3,2.5,0.5
0.59,5.5,0.0,1.0,0.0,9.8,"",0.3,2.5,0.5
2.23,9.0,0.0,1.0,0.0,13.3,"",0.3,2.5,0.5
1.05,6.0,1.0,1.0,0.0,11.3,"",0.3,2.5,0.5
1.47,7.0,1.0,1.0,0.0,12.3,"",0.3,2.5,0.5
1.25,6.0,0.0,1.0,0.0,10.3,"",0.3,2.5,0.5
1.18,7.0,2.26,1.0,0.0,13.56,"",0.3,2.5,0.5
2.57,10.5,3.7,1.0,0.0,18.5,"",0.3,2.5,0.5
2.33,9.5,2.07,1.0,0.0,15.87,"",0.3,2.5,0.5
2.71,12.0,3.26,1.0,0.0,19.56,"",0.3,2.5,0.5
3.4,15.0,3.86,1.0,0.0,23.16,"",0.3,2.5,0.5
0.65,5.5,1.96,1.0,0.0,11.76,"",0.3,2.5,0.5
3.65,12.5,0.0,1.0,0.0,16.8,"",0.3,2.5,0.5
4.28,16.5,4.16,1.0,0.0,24.96,"",0.3,2.5,0.5
1.81,8.0,1.84,1.0,0.0,14.14,"",0.3,2.5,0.5
2.31,11.0,0.0,1.0,0.0,15.3,"",0.3,2.5,0.5
1.28,6.5,2.7,1.0,0.0,13.5,"",0.3,2.5,0.5
2.77,9.5,2.76,1.0,0.0,16.56,"",0.3,2.5,0.5
1.6,7.5,0.0,3.5,0.0,11.8,"",0.3,2.5,0.5
0.44,4.5,0.0,1.0,0.0,8.8,"",0.3,2.5,0.5
0.9,5.0,0.0,1.0,0.0,9.3,"",0.3,2.5,0.5
0.91,5.0,0.0,1.0,0.0,9.3,"",0.3,2.5,0.5
0.87,5.5,0.0,1.0,0.0,9.8,"",0.3,2.5,0.5
2.65,10.0,1.0,1.0,0.0,15.3,"",0.3,2.5,0.5
