trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
1.8,8.0,1.29,2.5,0.0,12.59,"",0.3,2.5,0.5
0.7,6.5,1.95,2.5,0.0,11.75,"",0.3,2.5,0.5
0.6,5.5,0.0,2.5,0.0,8.8,"",0.3,2.5,0.5
4.4,19.0,5.55,2.5,0.0,27.85,"",0.3,2.5,0.5
0.76,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
1.18,6.5,2.94,0.0,0.0,12.74,"",0.3,2.5,0.5
0.71,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
2.99,13.0,3.26,0.0,0.0,19.56,"",0.3,2.5,0.5
0.95,6.0,2.79,0.0,0.0,12.09,"",0.3,2.5,0.5
1.2,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
0.6,-4.0,0.0,0.0,0.0,-4.8,"",-0.3,0.0,-0.5
0.6,4.0,0.0,0.0,0.0,4.8,"",0.3,0.0,0.5
0.67,4.5,0.0,0.0,0.0,5.3,"",0.3,0.0,0.5
1.88,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
0.65,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
0.3,3.0,1.25,2.5,0.0,7.55,"",0.3,2.5,0.5
12.1,44.5,11.9,2.5,0.0,59.7,"",0.3,2.5,0.5
1.26,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
0.56,4.0,1.46,0.0,0.0,8.76,"",0.3,2.5,0.5
0.78,4.5,1.56,0.0,0.0,9.36,"",0.3,2.5,0.5
1.38,6.5,2.94,0.0,0.0,12.74,"",0.3,2.5,0.5
1.26,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
0.6,6.0,1.85,2.5,0.0,11.15,"",0.3,2.5,0.5
1.3,6.5,1.95,2.5,0.0,11.75,"",0.3,2.5,0.5
1.34,6.5,0.0,0.0,0.0,9.8,"",0.3,2.5,0.5
2.04,10.5,0.0,0.0,0.0,13.8,"",0.3,2.5,0.5
1.86,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
1.58,6.5,0.0,0.0,0.0,7.3,"",0.3,0.0,0.5
2.13,14.0,2.0,0.0,0.0,19.3,"",0.3,2.5,0.5
0.78,6.0,2.32,0.0,0.0,11.62,"",0.3,2.5,0.5
1.57,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
0.79,5.5,2.0,0.0,0.0,10.8,"",0.3,2.5,0.5
2.21,9.0,1.23,0.0,0.0,13.53,"",0.3,2.5,0.5
1.15,6.5,0.0,0.0,0.0,9.8,"",0.3,2.5,0.5
3.43,16.5,0.0,0.0,0.0,17.3,"",0.3,0.0,0.5
1.74,9.0,0.0,0.0,0.0,12.3,"",0.3,2.5,0.5
1.62,7.5,1.66,0.0,0.0,9.96,"",0.3,0.0,0.5
2.81,14.5,3.06,0.0,0.0,18.36,"",0.3,0.0,0.5
8.85,73.0,0.0,0.0,0.0,73.8,"",0.3,0.0,0.5
1.5,9.0,0.0,0.0,0.0,9.8,"",0.3,0.0,0.5
3.5,13.5,3.35,2.5,0.0,20.15,"",0.3,2.5,0.5
2.4,11.0,2.0,2.5,0.0,16.3,"",0.3,2.5,0.5
0.7,5.5,1.75,2.5,0.0,10.55,"",0.3,2.5,0.5
1.81,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
2.94,13.0,0.0,0.0,0.0,16.3,"",0.3,2.5,0.5
2.71,11.0,0.0,0.0,0.0,14.3,"",0.3,2.5,0.5
2.5,10.5,0.0,2.5,0.0,13.8,"",0.3,2.5,0.5
1.2,9.0,0.0,0.0,0.0,9.8,"",0.3,0.0,0.5
0.66,4.0,1.46,0.0,0.0,8.76,"",0.3,2.5,0.5
0.32,4.5,1.32,0.0,0.0,6.62,"",0.3,0.0,0.5
13.92,41.5,0.0,0.0,0.0,42.3,"",0.3,0.0,0.5
0.58,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
1.61,8.5,0.0,0.0,0.0,11.8,"",0.3,2.5,0.5
3.0,12.5,2.0,2.5,0.0,17.8,"",0.3,2.5,0.5
0.6,5.0,1.25,2.5,0.0,9.55,"",0.3,2.5,0.5
1.7,8.0,2.26,2.5,0.0,13.56,"",0.3,2.5,0.5
1.7,9.5,1.92,2.5,0.0,14.72,"",0.3,2.5,0.5
3.0,13.0,0.0,2.5,0.0,16.3,"",0.3,2.5,0.5
1.6,8.0,2.25,2.5,0.0,13.55,"",0.3,2.5,0.5
0.9,6.0,1.85,2.5,0.0,11.15,"",0.3,2.5,0.5
2.1,10.0,1.5,2.5,0.0,14.8,"",0.3,2.5,0.5
2.3,11.0,2.5,2.5,0.0,16.8,"",0.3,2.5,0.5
1.9,8.5,1.77,2.5,0.0,13.57,"",0.3,2.5,0.5
1.3,7.5,1.0,2.5,0.0,11.8,"",0.3,2.5,0.5
1.6,9.0,2.45,2.5,0.0,14.75,"",0.3,2.5,0.5
4.64,17.5,5.2,0.0,0.0,26.0,"",0.3,2.5,0.5
0.75,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
0.91,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
0.0,2.5,0.0,0.0,0.0,3.3,"",0.3,0.0,0.5
0.0,2.5,0.0,0.0,0.0,3.3,"",0.3,0.0,0.5
0.0,2.5,0.0,0.0,0.0,3.3,"",0.3,0.0,0.5
0.0,2.5,0.0,0.0,0.0,3.3,"",0.3,0.0,0.5
0.0,2.5,0.0,0.0,0.0,3.3,"",0.3,0.0,0.5
1.02,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
1.58,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
3.4,15.0,3.65,2.5,0.0,21.95,"",0.3,2.5,0.5
0.3,4.0,1.0,2.5,0.0,8.3,"",0.3,2.5,0.5
0.4,4.0,3.0,2.5,0.0,10.3,"",0.3,2.5,0.5
3.8,15.5,3.75,2.5,0.0,22.55,"",0.3,2.5,0.5
2.1,10.5,3.45,2.5,0.0,17.25,"",0.3,2.5,0.5
1.5,7.5,0.0,2.5,0.0,10.8,"",0.3,2.5,0.5
1.1,6.5,2.45,2.5,0.0,12.25,"",0.3,2.5,0.5
1.4,8.0,2.26,2.5,0.0,13.56,"",0.3,2.5,0.5
0.53,5.0,0.0,0.0,0.0,5.8,"",0.3,0.0,0.5
4.1,18.0,0.0,2.5,0.0,21.3,"",0.3,2.5,0.5
3.2,18.0,20.0,2.5,0.0,41.3,"",0.3,2.5,0.5
