trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
0.0,21.75,0.0,0.0,0.0,25.75,"",1.0,"",0.5
4.35,22.11,5.22,0.0,0.0,31.33,"",1.0,"",0.5
0.0,8.0,2.4,0.0,0.0,16.4,"",1.0,"",0.5
2.14,13.15,3.43,0.0,0.0,20.58,"",1.0,"",0.5
0.0,21.95,0.0,0.0,0.0,25.95,"",1.0,"",0.5
1.85,13.3,0.0,0.0,0.0,17.3,"",1.0,"",0.5
19.62,67.69,15.65,0.0,6.55,93.89,"",1.0,"",0.5
1.1,7.9,2.38,0.0,0.0,14.28,"",1.0,"",0.5
9.0,33.16,0.0,0.0,0.0,37.16,"",1.0,"",0.5
5.77,28.41,6.48,0.0,0.0,38.89,"",1.0,"",0.5
11.06,32.18,6.74,0.0,0.0,40.42,"",1.0,"",0.5
5.0,30.3,3.43,0.0,0.0,37.73,"",1.0,"",0.5
16.64,60.18,13.65,0.0,6.55,81.88,"",1.0,"",0.5
8.78,36.86,7.67,0.0,0.0,46.03,"",1.0,"",0.5
1.17,11.0,3.0,0.0,0.0,18.0,"",1.0,"",0.5
1.08,11.0,3.0,0.0,0.0,18.0,"",1.0,"",0.5
6.53,33.69,0.0,0.0,0.0,37.69,"",1.0,"",0.5
6.24,30.41,5.16,0.0,0.0,39.57,"",1.0,"",0.5
3.7,22.6,2.66,0.0,0.0,29.26,"",1.0,"",0.5
16.48,54.14,12.94,0.0,6.55,77.63,"",1.0,"",0.5
2.3,10.7,2.2,0.0,0.0,16.9,"",1.0,"",0.5
2.4,70.0,11.1,0.0,0.0,85.1,"",1.0,"",0.5
15.37,57.95,0.0,0.0,0.0,59.45,"",1.0,"",0.5
1.0,7.2,2.24,0.0,0.0,13.44,"",1.0,"",0.5
0.0,7.49,0.0,0.0,0.0,11.49,"",1.0,"",0.5
3.93,14.94,4.74,0.0,0.0,23.68,"",1.0,"",0.5
10.78,38.68,0.0,0.0,0.0,42.68,"",1.0,"",0.5
0.8,7.2,1.68,0.0,0.0,12.88,"",1.0,"",0.5
12.76,44.72,0.0,0.0,6.55,55.27,"",1.0,"",0.5
1.56,18.73,4.55,0.0,0.0,27.28,"",1.0,"",0.5
0.0,32.48,0.0,0.0,0.0,36.48,"",1.0,"",0.5
14.6,59.0,0.0,1.75,0.0,62.25,"",1.0,"",0.5
5.52,30.12,0.0,0.0,0.0,34.12,"",1.0,"",0.5
17.41,67.44,15.6,0.0,6.55,93.59,"",1.0,"",0.5
3.51,21.15,5.03,0.0,0.0,30.18,"",1.0,"",0.5
11.59,30.83,2.0,0.0,6.55,40.88,"",1.0,"",0.5
1.96,13.5,1.75,0.0,0.0,19.25,"",1.0,"",0.5
7.56,34.56,0.0,0.0,0.0,38.56,"",1.0,"",0.5
2.0,24.0,4.2,0.0,0.0,32.2,"",1.0,"",0.5
3.9,19.1,4.62,0.0,0.0,27.72,"",1.0,"",0.5
1.35,10.46,0.12,0.0,0.0,12.08,"",1.0,"",0.5
6.8,34.03,0.0,0.0,6.55,44.58,"",1.0,"",0.5
1.01,11.0,2.7,0.0,0.0,17.7,"",1.0,"",0.5
12.03,41.9,0.0,0.0,0.0,45.9,"",1.0,"",0.5
12.41,56.37,12.07,0.0,0.0,72.44,"",1.0,"",0.5
1.3,7.9,1.79,0.0,0.0,13.69,"",1.0,"",0.5
1.43,11.0,1.5,0.0,0.0,16.5,"",1.0,"",0.5
9.39,39.81,8.26,0.0,0.0,49.57,"",1.0,"",0.5
1.6,10.0,2.8,0.0,0.0,16.8,"",1.0,"",0.5
9.4,39.4,8.51,6.75,6.55,65.21,"",1.0,"",0.5
12.03,48.01,12.75,0.0,14.75,76.51,"",1.0,"",0.0
11.27,34.07,0.0,0.0,0.0,38.07,"",1.0,"",0.5
1.3,11.0,3.0,0.0,0.0,18.0,"",1.0,"",0.5
2.29,13.67,5.0,0.0,0.0,22.67,"",1.0,"",0.5
3.43,19.19,0.0,0.0,0.0,23.19,"",1.0,"",0.5
2.34,14.64,0.0,0.0,0.0,18.64,"",1.0,"",0.5
2.64,15.34,0.0,0.0,0.0,16.84,"",1.0,"",0.5
4.41,30.19,0.0,0.0,0.0,34.19,"",1.0,"",0.5
1.48,11.0,3.75,0.0,0.0,18.75,"",1.0,"",0.5
2.2,12.8,2.52,0.0,0.0,19.32,"",1.0,"",0.5
2.9,18.89,0.0,0.0,0.0,22.89,"",1.0,"",0.5
0.4,5.1,1.36,0.0,0.0,10.46,"",1.0,"",0.5
2.84,20.7,3.7,0.0,0.0,28.4,"",1.0,"",0.5
1.91,12.0,2.88,0.0,0.0,18.88,"",1.0,"",0.5
2.7,16.3,3.05,0.0,0.0,23.35,"",1.0,"",0.5
3.13,19.42,3.0,0.0,0.0,26.42,"",1.0,"",0.5
1.3,13.05,0.0,0.0,0.0,17.05,"",1.0,"",0.5
1.66,11.0,3.0,0.0,0.0,18.0,"",1.0,"",0.5
4.89,20.51,0.0,0.0,0.0,24.51,"",1.0,"",0.5
0.75,-1.0,0.0,0.0,0.0,3.0,"",1.0,"",0.5
0.0,12.05,0.0,0.0,0.0,13.55,"",1.0,"",0.5
8.49,39.11,0.0,0.0,0.0,40.61,"",1.0,"",0.5
17.73,64.35,4.0,0.0,19.75,89.1,"",1.0,"",0.0
1.22,18.1,0.0,0.0,0.0,22.1,"",1.0,"",0.5
0.0,15.76,3.45,0.0,0.0,20.71,"",1.0,"",0.5
10.61,29.3,9.97,0.0,6.55,49.82,"",1.0,"",0.5
1.7,17.7,4.34,0.0,0.0,26.04,"",1.0,"",0.5
2.39,15.09,0.0,0.0,0.0,16.59,"",1.0,"",0.5
2.87,23.94,5.59,0.0,0.0,33.53,"",1.0,"",0.5
6.36,26.83,6.17,0.0,0.0,37.0,"",1.0,"",0.5
11.2,49.9,13.44,6.75,6.55,80.64,"",1.0,"",0.5
2.13,17.66,4.33,0.0,0.0,25.99,"",1.0,"",0.5
7.54,27.52,7.61,0.0,6.55,45.68,"",1.0,"",0.5
