hour_timestamp,avg_trip_distance,avg_tip_amount
0E+00,5.350570005982190,2.868362573630190
1.000000000000000000,5.260276061254580,2.645211599865900
2.000000000000000000,6.363496227951430,2.502074959081180
3.000000000000000000,8.907375971967000,2.5480280706610900
4.000000000000000000,13.813157690534600,3.2070413682610000
5.000000000000000000,4.9807802022102,3.5826020793721800
6.000000000000000000,15.264488573589800,2.978646696553180
7.000000000000000000,13.809947978569300,2.7403983126868000
8.000000000000000000,9.491027534708090,3.7476907272109
9.000000000000000000,5.870235789883470,2.6811713862243
10.000000000000000000,4.744481283058500,2.525206886551280
11.000000000000000000,4.5429773228974000,2.5634459549687500
12.000000000000000000,4.610461092632700,2.6166184682620300
13.000000000000000000,5.039614757183040,2.6914419069272600
14.000000000000000000,5.208991575007490,2.7770880906324900
15.000000000000000000,5.818768456359100,2.8244474423746900
16.000000000000000000,4.990235065771070,2.9397461772430300
17.000000000000000000,5.301578529138840,2.84854890558034
18.000000000000000000,4.88655269461253,2.7236975617667800
19.000000000000000000,4.603052686031770,2.687378941734010
20.000000000000000000,4.893190020482010,2.7153906890342700
21.000000000000000000,4.9223142785189100,2.79398328697348
22.000000000000000000,4.944439748126540,2.8863791547657500
23.000000000000000000,5.337821286268520,2.9280722121470700
