hour_timestamp,avg_trip_distance,avg_tip_amount
0E-18,4.132944151228966,3.5479926051067814
1.000000000000000000,3.8119946053555736,3.235940550852438
2.000000000000000000,5.070675186375178,2.98858489796411
3.000000000000000000,4.836914748365128,3.0624144968499434
4.000000000000000000,12.893509340832784,3.694238169713125
5.000000000000000000,13.750007287351137,4.201898354947657
6.000000000000000000,8.352309981432224,3.604341339618005
7.000000000000000000,6.2827122984135855,3.325269153448037
8.000000000000000000,4.326303353674469,3.2622035906979425
9.000000000000000000,4.187863162797499,3.251274962620312
10.000000000000000000,3.530842503315257,3.2274358101254763
11.000000000000000000,3.635138412453249,3.2578098997794713
12.000000000000000000,3.6843057767783516,3.3135311609837146
13.000000000000000000,3.8802945872236334,3.417409443078748
14.000000000000000000,4.150178121688379,3.557027871305499
15.000000000000000000,4.590310433747115,3.52805715369666
16.000000000000000000,3.8628406039858505,3.7719031347070873
17.000000000000000000,4.004011650773685,3.6482119145943566
18.000000000000000000,3.627514371610636,3.48018480514785
19.000000000000000000,3.785862187782086,3.4813812523233625
20.000000000000000000,3.597394152291777,3.51683407594922
21.000000000000000000,3.924307431267459,3.585676951718134
22.000000000000000000,4.263687597699255,3.6768992373804323
23.000000000000000000,4.381098292517085,3.7724349634484855
