range_start,range_end,locationid,total
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,79,264477
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,46,268
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,68,312080
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,180,1465
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,187,67
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,70,7565
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,158,122389
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,115,174
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,184,91
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,133,3498
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,114,120951
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,194,1204
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,52,8294
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,198,6748
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,142,357076
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,206,261
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,130,6774
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,71,2550
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,230,381297
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,209,32879
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,28,5384
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,208,1741
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,137,164892
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,67,1552
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,65,17697
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,191,2846
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,10,13331
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,156,194
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,152,19318
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,200,4284
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,151,117214
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,37,13993
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,30,124
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,149,1816
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,44,240
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,97,16904
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,237,528888
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,105,5
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,122,1031
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,108,977
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,18,1696
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,80,16678
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,162,348529
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,47,1303
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,211,102486
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,64,1546
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,19,1351
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,233,198955
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,259,1534
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,72,2653
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,83,3229
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,190,1669
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,260,9627
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,131,2688
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,27,181
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,218,3707
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,221,241
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,56,3523
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,212,1147
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,244,37507
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,195,3200
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,88,41439
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,167,1792
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,163,306139
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,119,2347
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,38,2397
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,143,193310
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,176,99
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,50,137872
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,85,2333
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,42,48863
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,118,302
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,255,32956
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,1,34986
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,173,2558
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,182,1433
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,235,2170
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,109,119
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,26,3632
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,139,2197
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,185,1413
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,8,204
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,262,201319
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,248,1212
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,229,275713
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,263,270699
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,101,1230
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,161,481225
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,35,2308
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,102,2323
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,60,835
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,106,4046
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,250,1150
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,48,318887
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,77,1367
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,153,551
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,203,2457
